"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","69","74","6","27.779346","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","62","2","22.345940","0","0"
"Globals","0","2852","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","16","1","5.699475","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","2.844572","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","9.461889","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","3.394947","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","3.428396","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.704566","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","0.754028","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","3.294185","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","3.554993","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","70","1","42.859005","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","92","96","1","55.577271","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","592","644","1","174.964310","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","90","1","30.354361","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","59.431717","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","0.771587","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","3.121474","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","3.237028","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","10.489203","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","3.030650","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.859315","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","6.383075","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","3.692015","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","52","1","22.301470","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","44","1","67.736183","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","1.678534","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","17","17","1","3.621070","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","115","115","1","57.595490","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","905","931","1","322.917969","92","94"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","35","1","15.003058","0","0"
"/Game/StylishCombatKit/Characters/Mannequin/Materials/M_UE4Man_Body.M_UE4Man_Body","0","140","152","2","50.090393","0","0"
"/Game/StylishCombatKit/VFX/Materials/M_Hitspark.M_Hitspark","0","24","24","1","8.073237","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/DropShadow.DropShadow","0","31","31","1","16.747341","0","0"
"/Game/StylishCombatKit/UI/Reticle/M_Reticle.M_Reticle","0","16","16","1","6.707836","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightBlue.HighlightBlue","0","72","72","1","36.085629","0","0"
"/Game/StylishCombatKit/VFX/Materials/M_Fresnel.M_Fresnel","0","75","80","1","21.276281","0","0"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","24","24","1","7.955510","0","0"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","32","32","1","10.717987","0","0"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","84","84","1","43.303787","0","0"
"/Game/FFBLAZE/NewBlaze/Water/Projectiles/Tornado_001.Tornado_001","0","56","56","1","28.170147","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Material.Material","0","24","24","1","10.905543","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/MaterialFace.MaterialFace","0","56","56","1","30.259447","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/MaterialFace2.MaterialFace2","0","56","56","1","27.162611","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Material_Shiny.Material_Shiny","0","24","24","1","13.210811","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Outline.Outline","0","24","24","1","11.139005","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Outline_Blue.Outline_Blue","0","24","24","1","11.840867","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Outline_Hair.Outline_Hair","0","24","24","1","10.969767","0","0"
"/Game/FFBLAZE/Marina/Material/MarinaFace.MarinaFace","0","56","56","1","30.850164","0","0"
"/Game/FFBLAZE/Marina/Material/Marina.Marina","0","24","24","1","10.827632","0","0"
"/Game/StylishCombatKit/VFX/Materials/M_Aura.M_Aura","0","24","24","1","11.363279","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","5.351848","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","3.258110","0","0"
"/Engine/EngineMeshes/M_Mat_UnrealTech.M_Mat_UnrealTech","0","21","21","1","11.067446","0","0"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","33","33","1","16.901403","0","0"
"/Engine/EngineSky/M_SkyTimeOfDay.M_SkyTimeOfDay","0","7","8","1","4.423369","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","21","21","1","14.429821","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","21","21","1","11.282498","0","0"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","21","21","1","12.600427","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","21","21","1","13.130574","0","0"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","21","21","1","12.841484","0","0"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","21","21","1","12.284620","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","26.994514","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","0.996000","0","0"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","36","36","1","13.549271","0","0"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","24","24","1","9.973044","0","0"
"/Game/FXVarietyPack/Materials/M_ky_flare_flash.M_ky_flare_flash","0","64","64","2","25.586132","0","0"
"/Game/FXVarietyPack/Materials/M_ky_storm01.M_ky_storm01","0","140","140","3","51.530678","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightGreen.HighlightGreen","0","72","72","1","40.433006","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightOrange.HighlightOrange","0","72","72","1","40.957424","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightPink.HighlightPink","0","72","72","1","36.059212","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightRed.HighlightRed","0","72","72","1","38.796356","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightTrueBlue.HighlightTrueBlue","0","72","72","1","36.525650","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightViolet.HighlightViolet","0","72","72","1","40.286285","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/HighlightYellow.HighlightYellow","0","72","72","1","37.632442","0","0"
"/Game/FFBLAZE/TexturesAndMaterials/Red.Red","0","12","12","1","6.012234","0","0"
"/Engine/MapTemplates/Materials/BasicAsset03.BasicAsset03","0","21","21","1","10.451299","0","0"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColorPalette.M_BaseColorPalette","0","69","72","1","29.540802","0","0"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColor.M_BaseColor","0","69","72","1","30.145189","0","0"
"/Game/FXVarietyPack/Materials/M_ky_smoke01.M_ky_smoke01","0","24","24","1","9.681222","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Civilian1.Civilian1","0","24","24","1","10.586735","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Civilian_Face.Civilian_Face","0","56","56","1","31.175533","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/Ramp1.Ramp1","0","12","12","1","6.552472","0","0"
"/Game/FXVarietyPack/EpicContent/Materials/M_DemoRoomTiles.M_DemoRoomTiles","0","26","27","1","14.233453","0","0"
"/Game/FXVarietyPack/EpicContent/Materials/M_DemoWall.M_DemoWall","0","94","99","1","46.339970","0","0"
"/Game/FXVarietyPack/EpicContent/Materials/M_DemoWallPattern.M_DemoWallPattern","0","21","21","1","12.742769","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/HotOutline.HotOutline","0","24","24","1","10.863783","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/Hot.Hot","0","24","24","1","13.260885","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/WhitHotOutline.WhitHotOutline","0","24","24","1","10.276052","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/WhiteHot.WhiteHot","0","24","24","1","11.207949","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/WarmOutline.WarmOutline","0","24","24","1","10.487822","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/Warm.Warm","0","24","24","1","12.064482","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/RedHotOutline.RedHotOutline","0","24","24","1","10.394386","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/Hottie.Hottie","0","24","24","1","11.568697","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/CoolOutline.CoolOutline","0","24","24","1","11.424536","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/Cool.Cool","0","24","24","1","10.742558","0","0"
"/Game/FFBLAZE/2DAssestsandMaterials/coinmaterial.coinmaterial","0","24","24","1","11.084600","0","0"
"/Game/FFBLAZE/Enemy/EnemyColors/RedHot.RedHot","0","24","24","1","10.250513","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","32","32","1","11.349289","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","32","32","1","11.571487","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","24","24","1","10.542575","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","30","30","1","10.173823","0","0"
"/Game/FXVarietyPack/Materials/M_ky_dynDust.M_ky_dynDust","0","40","40","1","15.583439","0","0"
"/Game/FXVarietyPack/Materials/M_ky_empty.M_ky_empty","0","32","32","1","10.219711","0","0"
"/Game/FXVarietyPack/Materials/M_ky_base_turbulence.M_ky_base_turbulence","0","40","40","1","12.882732","0","0"
"/Game/FXVarietyPack/Materials/M_ky_stormDeco01.M_ky_stormDeco01","0","50","50","1","15.062427","0","0"
"/Game/FFBLAZE/Cutscene/ffBlazecutscenefinal_Mat.ffBlazecutscenefinal_Mat","0","12","12","1","6.453443","0","0"
"/Game/FFBLAZE/Cutscene/ffBlazecutscene18_Mat.ffBlazecutscene18_Mat","0","12","12","1","7.406404","0","0"
"/Game/FFBLAZE/Cutscene/ffBlazecutscene17_Mat.ffBlazecutscene17_Mat","0","12","12","1","6.506779","0","0"
"/Game/FFBLAZE/Cutscene/ffBlazecutscene16_Mat.ffBlazecutscene16_Mat","0","12","12","1","6.017149","0","0"
"/Game/FFBLAZE/Cutscene/ffBlazecutscene15_Mat.ffBlazecutscene15_Mat","0","12","12","1","8.009184","0","0"
"/Game/FFBLAZE/Cutscene/ffBlazecutscene14_Mat.ffBlazecutscene14_Mat","0","12","12","1","7.040756","0","0"
"/Game/VehicleVarietyPack/Materials/BoxTruck/M_BoxTruck_Interior.M_BoxTruck_Interior","0","33","33","1","17.669464","0","0"
"/Game/VehicleVarietyPack/Materials/BoxTruck/M_BoxTruck_Chassis.M_BoxTruck_Chassis","0","33","33","1","17.266239","0","0"
"/Game/VehicleVarietyPack/Materials/BoxTruck/M_BoxTruck_Box.M_BoxTruck_Box","0","33","33","1","15.342337","0","0"
"/Game/VehicleVarietyPack/Materials/BoxTruck/M_BoxTruck_Body.M_BoxTruck_Body","0","33","33","1","15.670667","0","0"
"/Game/VehicleVarietyPack/Materials/Masters/M_Glass.M_Glass","0","148","148","2","180.846680","0","0"
